Priority,Company,Booth,Country,Category,Why relevant,What to ask,Met?,Followup,Notes
🔴 Must,Balchem,3F122,USA,Branded Ingredient,"Optifolin+ (choline-enriched L-5-MTHF), VitaCholine, Albion chelated minerals (iron/mag/zinc) — three of your spec ingredients","India distribution? MOQ? Cost per kg? Sample supply?",,,
🔴 Must,dsm-firmenich,3C88,Netherlands,Branded Ingredient,"Owns life'sDHA (algal omega-3 vegetarian)","India channel? MOQ at prenatal-grade purity? Pricing? Documentation pack?",,,
🔴 Must,Gnosis by Lesaffre,Verify on-site,France,Branded Ingredient,"Quatrefolic (L-methylfolate glucosamine salt) — gold-standard methylfolate","India distribution partner? Pricing? Stability data for Indian climate?",,,
🔴 Must,Ixoreal Biomed (KSM-66 Ashwagandha),Flagship Sponsor pavilion,India,Branded Ingredient,"KSM-66 ashwagandha for Edit For Him preconception SKU. Indian co — easier follow-up","Pricing for KSM-66 in your batch sizes? FSSAI Health Supplement docs? Co-marketing?",,,
🔴 Must,Sabinsa,3F104,India,Branded Ingredient,"Indian botanicals — Shagandha (ashwagandha alt), Curcumin C3 Reduct","Alternative to KSM-66? Other women's health botanicals? India-to-India supply chain",,,
🔴 Must,AB-Biotics,3K24,Spain,Probiotic Ingredient,"Probiotics for women's health, fertility, iron absorption (Gyntima Menopause)","Probiotic strains for prenatal? Folate-producing strains? L. sakei LB-P12 for iron?",,,
🔴 Must,OmniActive Health Technologies,3F6,India,Branded Ingredient,"Indian botanical leader — Lutemax, Curcuwin, Capsimax","Women's health botanicals? Indian-made = simpler regulatory path",,,
🔴 Must,Aker BioMarine,Verify,Norway,Omega-3,"Krill oil omega-3 alternative","Algal vs krill comparison? Sustainability story? Vegetarian alternatives?",,,
🔴 Must,Lonza Capsugel,Verify,Switzerland,Capsule Tech,"Vegetarian capsules (Vcaps Plus) — your delivery format","HPMC capsule pricing for batch sizes? Plant-based capsules for prenatal?",,,
🔴 Must,Pharmalinea,3J122,Slovenia,Iron / Women's,"Iron supplement specialists — iron forte capsules, chewables","Iron formulation expertise — ferrous bisglycinate vs fumarate for Indian women?",,,
🔴 Must,Concordix,3G122,Norway,Delivery Tech,"Patented chewable emulsion delivery — vegan multivitamin chewables","DHA-loaded chewables? Vegan chewable multivitamins for prenatal?",,,
🔴 Must,Gelita,3B88,Germany,Collagen,"Bioactive collagen peptides for postnatal recovery + skin","Collagen for postpartum recovery? Mother's collagen depletion data?",,,
🔴 Must,Glanbia Nutritionals,Verify,Ireland,Protein,"Protein ingredients — used in prenatal protein blends","Protein for postnatal lactation support formulation?",,,
🔴 Must,BENEO,Verify,Germany,Functional Carb,"Functional carbs, prebiotics (chicory inulin) — gut health for prenatal","Prebiotic options for prenatal? Iron-bisglycinate alternatives?",,,
🔴 Must,Capsugel / Lonza,Verify,DE/CH,Capsule Tech,"Capsule technology + Vcaps Plus","Pull-through tier pricing for launch volume",,,
🟡 Strong,Sirio Europe,3G40,China/Europe,CDMO,"Global CDMO — gummies, NAD+, mobility. Massive scale","Comparison quote vs your India CMs? Gummy capability? FSDU equivalent in EU?",,,
🟡 Strong,Ourvita,3G138,Verify,CDMO,"Supplements CDMO — vitamins, biotics","Min batch sizes? India shipping? Premium ingredient capability?",,,
🟡 Strong,Vantage Nutrition,3J56,USA,CDMO,"Liquid-filled capsules, beadlets, multi-phase release","Multi-phase prenatal (slow-release iron + immediate folate)?",,,
🟡 Strong,TSI Ingredients,UWA50,Verify,Personalized,"Personalized nutrition platform with 150+ vitamins","Future-stage: personalized prenatal based on customer questionnaire?",,,
🟡 Strong,TopGum Industries,3G88,Israel,Gummy CMO,"Gummy mfr — shatavari + vit D, PMS, UTI, iron gummies","Prenatal-compliant gummy formulation? Sugar-free? Postnatal lactation gummies?",,,
🟡 Strong,BGG,3C246,China,Botanical/Gummy,"Botanical extracts + gummy concepts","Gummy formats for ashwagandha?",,,
🟡 Strong,ProBiotix Health,4K55,UK,Probiotic,"YourBiotixMH (cardio + menopause)","Probiotic strains for postnatal vaginal microbiome restoration?",,,
🟡 Strong,ADM,3C210,USA,Postbiotic,"Postbiotic for women's health, sleep, stress, mood","Postbiotic options for The Edit Postnatal SKU?",,,
🟡 Strong,Puredia,UWB44,China,Omega/Sea Buckthorn,"Sea buckthorn omega 3-6-7-9 + DHA combos","Women's hormonal/skin health for postpartum?",,,
